principalId,movieId,ordering,personId,job,characters,professionId
1,tt0111161,10,nm0290358,NULL,NULL,20
2,tt0111161,1,nm0000209,NULL,"[""Andy Dufresne""]",25
3,tt0111161,2,nm0000151,NULL,"[""Ellis Boyd 'Red' Redding""]",25
4,tt0111161,3,nm0348409,NULL,"[""Warden Norton""]",25
5,tt0111161,4,nm0006669,NULL,"[""Heywood""]",25
6,tt0111161,5,nm0001104,NULL,NULL,31
7,tt0111161,6,nm0000175,"based on the short novel ""Rita Hayworth and the Shawshank Redemption"" by",NULL,0
8,tt0111161,7,nm0555550,producer,NULL,28
9,tt0111161,8,nm0002353,NULL,NULL,33
10,tt0111161,9,nm0005683,director of photography,NULL,1
11,tt0068646,10,nm0722000,NULL,NULL,20
12,tt0068646,1,nm0000008,NULL,"[""Don Vito Corleone""]",25
13,tt0068646,2,nm0000199,NULL,"[""Michael Corleone""]",25
14,tt0068646,3,nm0001001,NULL,"[""Sonny Corleone""]",25
15,tt0068646,4,nm0000473,NULL,"[""Kay Adams""]",30
16,tt0068646,5,nm0000338,NULL,NULL,31
17,tt0068646,6,nm0701374,screenplay by,NULL,0
18,tt0068646,7,nm0748665,producer,NULL,28
19,tt0068646,8,nm0000065,NULL,NULL,33
20,tt0068646,9,nm0932336,director of photography,NULL,1
21,tt0108052,10,nm0002354,NULL,NULL,33
22,tt0108052,1,nm0000553,NULL,"[""Oskar Schindler""]",25
23,tt0108052,2,nm0000146,NULL,"[""Amon Goeth""]",25
24,tt0108052,3,nm0001426,NULL,"[""Itzhak Stern""]",25
25,tt0108052,4,nm0328751,NULL,"[""Emilie Schindler""]",30
26,tt0108052,5,nm0000229,NULL,NULL,31
27,tt0108052,6,nm0447745,book,NULL,0
28,tt0108052,7,nm0001873,screenplay,NULL,0
29,tt0108052,8,nm0527322,producer,NULL,28
30,tt0108052,9,nm0596520,producer,NULL,28
31,tt0071562,10,nm0548943,NULL,NULL,20
32,tt0071562,1,nm0000199,NULL,"[""Michael""]",25
33,tt0071562,2,nm0000134,NULL,"[""Vito Corleone""]",25
34,tt0071562,3,nm0000380,NULL,"[""Tom Hagen""]",25
35,tt0071562,4,nm0000473,NULL,"[""Kay""]",30
36,tt0071562,5,nm0000338,NULL,NULL,31
37,tt0071562,6,nm0701374,screenplay by,NULL,0
38,tt0071562,7,nm0000065,NULL,NULL,33
39,tt0071562,8,nm0932336,director of photography,NULL,1
40,tt0071562,9,nm0539794,NULL,NULL,20
41,tt0050083,1,nm0000020,NULL,"[""Juror 8""]",25
42,tt0050083,2,nm0002011,NULL,"[""Juror 3""]",25
43,tt0050083,3,nm0000842,NULL,"[""Juror 1""]",25
44,tt0050083,4,nm0275835,NULL,"[""Juror 2""]",25
45,tt0050083,5,nm0001486,NULL,NULL,31
46,tt0050083,6,nm0741627,"teleplay ""Twelve Angry Men""",NULL,0
47,tt0050083,7,nm0006132,NULL,NULL,33
48,tt0050083,8,nm0442100,director of photography,NULL,1
49,tt0050083,9,nm0503594,NULL,NULL,20
50,tt0468569,10,nm0746273,producer,NULL,28
51,tt0468569,1,nm0000288,NULL,"[""Bruce Wayne"",""Batman""]",25
52,tt0468569,2,nm0005132,NULL,"[""Joker""]",25
53,tt0468569,3,nm0001173,NULL,"[""Harvey Dent""]",25
54,tt0468569,4,nm0000323,NULL,"[""Alfred""]",25
55,tt0468569,5,nm0634240,NULL,NULL,31
56,tt0468569,6,nm0634300,screenplay,NULL,0
57,tt0468569,7,nm0275286,story,NULL,0
58,tt0468569,8,nm0004170,characters,NULL,0
59,tt0468569,9,nm0650038,producer,NULL,28
60,tt0167260,10,nm0651614,producer,NULL,28
61,tt0167260,1,nm0000704,NULL,"[""Frodo""]",25
62,tt0167260,2,nm0001557,NULL,"[""Aragorn""]",25
63,tt0167260,3,nm0005212,NULL,"[""Gandalf""]",25
64,tt0167260,4,nm0089217,NULL,"[""Legolas""]",25
65,tt0167260,5,nm0001392,NULL,NULL,31
66,tt0167260,6,nm0866058,"novel ""The Return of the King""",NULL,0
67,tt0167260,7,nm0909638,screenplay,NULL,0
68,tt0167260,8,nm0101991,screenplay,NULL,0
69,tt0167260,9,nm8662749,producer,NULL,28
70,tt0110912,10,nm0913300,NULL,NULL,11
71,tt0110912,1,nm0000237,NULL,"[""Vincent Vega""]",25
72,tt0110912,2,nm0000235,NULL,"[""Mia Wallace""]",30
73,tt0110912,3,nm0000168,NULL,"[""Jules Winnfield""]",25
74,tt0110912,4,nm0000246,NULL,"[""Butch Coolidge""]",25
75,tt0110912,5,nm0000233,NULL,NULL,31
76,tt0110912,6,nm0000812,stories by,NULL,0
77,tt0110912,7,nm0004744,producer,NULL,28
78,tt0110912,8,nm0782900,NULL,NULL,1
79,tt0110912,9,nm0579673,NULL,NULL,20
80,tt0167261,10,nm8662749,producer,NULL,28
81,tt0167261,1,nm0000704,NULL,"[""Frodo""]",25
82,tt0167261,2,nm0005212,NULL,"[""Gandalf""]",25
83,tt0167261,3,nm0001557,NULL,"[""Aragorn""]",25
84,tt0167261,4,nm0089217,NULL,"[""Legolas""]",25
85,tt0167261,5,nm0001392,NULL,NULL,31
86,tt0167261,6,nm0866058,"novel ""The Two Towers""",NULL,0
87,tt0167261,7,nm0909638,screenplay,NULL,0
88,tt0167261,8,nm0101991,screenplay,NULL,0
89,tt0167261,9,nm0801728,screenplay,NULL,0
90,tt0137523,10,nm0513165,producer,NULL,28
91,tt0137523,1,nm0000093,NULL,"[""Tyler Durden""]",25
92,tt0137523,2,nm0001570,NULL,"[""Narrator""]",25
93,tt0137523,3,nm0001533,NULL,"[""Robert Paulsen""]",25
94,tt0137523,4,nm0340260,NULL,"[""Richard Chesler (Regional Manager)""]",25
95,tt0137523,5,nm0000399,NULL,NULL,31
96,tt0137523,6,nm0657333,based on the novel by,NULL,0
97,tt0137523,7,nm0880243,screenplay by,NULL,0
98,tt0137523,8,nm0068501,producer,NULL,28
99,tt0137523,9,nm0149556,producer,NULL,28
100,tt0060196,10,nm0001553,NULL,NULL,33
101,tt0060196,1,nm0000142,NULL,"[""Blondie""]",25
102,tt0060196,2,nm0908919,NULL,"[""Tuco""]",25
103,tt0060196,3,nm0001812,NULL,"[""Sentenza"",""Angel Eyes""]",25
104,tt0060196,4,nm0321294,NULL,"[""Alcoholic Union Captain""]",25
105,tt0060196,5,nm0001466,NULL,NULL,31
106,tt0060196,6,nm0898812,story,NULL,0
107,tt0060196,7,nm0408488,screenplay,NULL,0
108,tt0060196,8,nm0769249,screenplay,NULL,0
109,tt0060196,9,nm0342090,producer,NULL,28
110,tt0120737,10,nm0761744,producer,NULL,28
111,tt0120737,1,nm0000704,NULL,"[""Frodo""]",25
112,tt0120737,2,nm0005212,NULL,"[""Gandalf""]",25
113,tt0120737,3,nm0089217,NULL,"[""Legolas""]",25
114,tt0120737,4,nm0000293,NULL,"[""Boromir""]",25
115,tt0120737,5,nm0001392,NULL,NULL,31
116,tt0120737,6,nm0866058,"novel ""The Fellowship of the Ring""",NULL,0
117,tt0120737,7,nm0909638,screenplay,NULL,0
118,tt0120737,8,nm0101991,screenplay,NULL,0
119,tt0120737,9,nm0651614,producer,NULL,28
120,tt1375666,10,nm0245596,NULL,NULL,11
121,tt1375666,1,nm0000138,NULL,"[""Cobb""]",25
122,tt1375666,2,nm0330687,NULL,"[""Arthur""]",25
123,tt1375666,3,nm0680983,NULL,"[""Ariadne""]",25
124,tt1375666,4,nm0913822,NULL,"[""Saito""]",25
125,tt1375666,5,nm0634240,NULL,NULL,31
126,tt1375666,6,nm0858799,producer,NULL,28
127,tt1375666,7,nm0001877,NULL,NULL,33
128,tt1375666,8,nm0002892,director of photography,NULL,1
129,tt1375666,9,nm0809059,NULL,NULL,20
130,tt15097216,10,nm5701899,NULL,NULL,20
131,tt15097216,1,nm1421814,NULL,"[""Chandru""]",25
132,tt15097216,2,nm7934649,NULL,"[""Senggeni""]",30
133,tt15097216,3,nm8904193,NULL,"[""Rajakannu""]",25
134,tt15097216,4,nm8135195,NULL,"[""Maithra""]",30
135,tt15097216,5,nm4377096,NULL,NULL,31
136,tt15097216,6,nm13222819,hindi dialogue,NULL,0
