personId,professionId
nm0290358,20
nm0722000,20
nm0548943,20
nm0539794,20
nm0503594,20
nm0579673,20
nm0809059,20
nm5701899,20
nm0821205,20
nm0774817,20
nm0477158,20
nm0233827,20
nm0119322,20
nm0156816,20
nm0259689,20
nm0374189,20
nm0338513,20
nm0004637,20
nm0786707,20
nm0866462,20
nm0484981,20
nm0660031,20
nm0742475,20
nm0151434,20
nm0123785,20
nm0630119,20
nm0881279,20
nm0711235,20
nm0772834,20
nm0386246,20
nm0367431,20
nm0069483,20
nm0402950,20
nm0602885,20
nm0768817,20
nm0755868,20
nm0898288,20
nm0246404,20
nm0634530,20
nm0080289,20
nm0325549,20
nm0117779,20
nm0773685,20
nm0269751,20
nm0124833,20
nm0522487,20
nm0541721,20
nm0461772,20
nm0266239,20
nm0033490,20
nm0000180,20
nm2111404,20
nm1154184,20
nm0244891,20
nm2243405,20
nm0003433,20
nm0817929,20
nm0548929,20
nm0572492,20
nm0836328,20
nm0346537,20
nm0357310,20
nm0270458,20
nm0672459,20
nm0185088,20
nm0368359,20
nm0415663,20
nm0642714,20
nm0753276,20
nm1167933,20
nm0801184,20
nm0339856,20
nm0325358,20
nm0369879,20
nm0702036,20
nm0136057,20
nm0936404,20
nm0353091,20
nm0357421,20
nm0493339,20
nm0310797,20
nm0521554,20
nm0386227,20
nm0177504,20
nm0906307,20
nm0741013,20
nm0669311,20
nm0010471,20
nm0950391,20
nm0800943,20
nm0829054,20
nm0614107,20
nm0398167,20
nm0175722,20
nm0000814,20
nm0606211,20
nm0001030,20
nm0380670,20
nm0236405,20
nm0556067,20
nm0398343,20
nm0290358,4
nm0722000,4
nm0548943,4
nm0539794,4
nm0503594,4
nm0809059,4
nm5701899,4
nm0823330,4
nm0821205,4
nm0774817,4
nm0477158,4
nm0119322,4
nm0156816,4
nm0338513,4
nm0004637,4
nm0786707,4
nm0866462,4
nm0484981,4
nm0122079,4
nm0742475,4
nm0881279,4
nm0711235,4
nm0772834,4
nm0367431,4
nm0402950,4
nm0602885,4
nm0768817,4
nm0755868,4
nm0634530,4
nm0080289,4
nm0325549,4
nm0117779,4
nm0773685,4
nm0124833,4
nm0522487,4
nm0541721,4
nm0461772,4
nm0033490,4
nm1154184,4
nm0244891,4
nm0270458,4
nm0185088,4
nm0368359,4
nm0642714,4
nm0206154,4
nm0801184,4
nm0339856,4
nm0325358,4
nm0369879,4
