movieId,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,False,1994,NULL,142
tt0068646,movie,The Godfather,The Godfather,False,1972,NULL,175
tt0108052,movie,Schindler's List,Schindler's List,False,1993,NULL,195
tt0071562,movie,The Godfather Part II,The Godfather Part II,False,1974,NULL,202
tt0050083,movie,12 Angry Men,12 Angry Men,False,1957,NULL,96
tt0468569,movie,The Dark Knight,The Dark Knight,False,2008,NULL,152
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,False,2003,NULL,201
tt0110912,movie,Pulp Fiction,Pulp Fiction,False,1994,NULL,154
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,False,2002,NULL,179
tt0137523,movie,Fight Club,Fight Club,False,1999,NULL,139
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",False,1966,NULL,161
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False,2001,NULL,178
tt1375666,movie,Inception,Inception,False,2010,NULL,148
tt15097216,movie,Jai Bhim,Jai Bhim,False,2021,NULL,164
tt0109830,movie,Forrest Gump,Forrest Gump,False,1994,NULL,142
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,False,1980,NULL,124
tt0133093,movie,The Matrix,The Matrix,False,1999,NULL,136
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,False,1975,NULL,133
tt0099685,movie,Goodfellas,GoodFellas,False,1990,NULL,145
tt0118799,movie,Life Is Beautiful,La vita è bella,False,1997,NULL,116
tt0317248,movie,City of God,Cidade de Deus,False,2002,NULL,130
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,False,1946,NULL,130
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,False,1991,NULL,118
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,False,1991,NULL,137
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,False,1998,NULL,169
tt0056058,movie,Harakiri,Seppuku,False,1962,NULL,133
tt0114369,movie,Se7en,Se7en,False,1995,NULL,127
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,False,1977,NULL,121
tt0120689,movie,The Green Mile,The Green Mile,False,1999,NULL,189
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,False,2001,NULL,125
tt0816692,movie,Interstellar,Interstellar,False,2014,NULL,169
tt0047478,movie,Seven Samurai,Shichinin no samurai,False,1954,NULL,207
tt0120586,movie,American History X,American History X,False,1998,NULL,119
tt0088763,movie,Back to the Future,Back to the Future,False,1985,NULL,116
tt0034583,movie,Casablanca,Casablanca,False,1942,NULL,102
tt0253474,movie,The Pianist,The Pianist,False,2002,NULL,150
tt0095327,movie,Grave of the Fireflies,Hotaru no haka,False,1988,NULL,89
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,False,1968,NULL,165
tt2582802,movie,Whiplash,Whiplash,False,2014,NULL,106
tt0172495,movie,Gladiator,Gladiator,False,2000,NULL,155
tt0054215,movie,Psycho,Psycho,False,1960,NULL,109
tt0114814,movie,The Usual Suspects,The Usual Suspects,False,1995,NULL,106
tt0407887,movie,The Departed,The Departed,False,2006,NULL,151
tt0110357,movie,The Lion King,The Lion King,False,1994,NULL,88
tt1675434,movie,The Intouchables,Intouchables,False,2011,NULL,112
tt0078788,movie,Apocalypse Now,Apocalypse Now,False,1979,NULL,147
tt0078748,movie,Alien,Alien,False,1979,NULL,117
tt0110413,movie,Léon: The Professional,Léon,False,1994,NULL,110
tt0021749,movie,City Lights,City Lights,False,1931,NULL,87
tt0027977,movie,Modern Times,Modern Times,False,1936,NULL,87
tt0047396,movie,Rear Window,Rear Window,False,1954,NULL,112
tt6751668,movie,Parasite,Gisaengchung,False,2019,NULL,132
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,False,1988,NULL,155
tt0482571,movie,The Prestige,The Prestige,False,2006,NULL,130
tt0112573,movie,Braveheart,Braveheart,False,1995,NULL,178
tt0082096,movie,Das Boot,Das Boot,False,1981,NULL,149
tt0081505,movie,The Shining,The Shining,False,1980,NULL,146
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,False,1981,NULL,115
tt0086879,movie,Amadeus,Amadeus,False,1984,NULL,160
tt0090605,movie,Aliens,Aliens,False,1986,NULL,137
tt0057565,movie,High and Low,Tengoku to jigoku,False,1963,NULL,143
tt0910970,movie,WALL·E,WALL·E,False,2008,NULL,98
tt8267604,movie,Capernaum,Capharnaüm,False,2018,NULL,126
tt7286456,movie,Joker,Joker,False,2019,NULL,122
tt5311514,movie,Your Name.,Kimi no na wa.,False,2016,NULL,106
tt4633694,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,False,2018,NULL,117
tt4154796,movie,Avengers: Endgame,Avengers: Endgame,False,2019,NULL,181
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,False,2018,NULL,149
tt0032553,movie,The Great Dictator,The Great Dictator,False,1940,NULL,125
tt2380307,movie,Coco,Coco,False,2017,NULL,105
tt1853728,movie,Django Unchained,Django Unchained,False,2012,NULL,165
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,False,2012,NULL,164
tt0043014,movie,Sunset Blvd.,Sunset Blvd.,False,1950,NULL,110
tt1187043,movie,3 Idiots,3 Idiots,False,2009,NULL,170
tt0364569,movie,Oldboy,Oldeuboi,False,2003,NULL,120
tt0050825,movie,Paths of Glory,Paths of Glory,False,1957,NULL,88
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,1964,NULL,95
tt0405094,movie,The Lives of Others,Das Leben der Anderen,False,2006,NULL,137
tt0209144,movie,Memento,Memento,False,2000,NULL,113
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,False,1957,NULL,116
tt0091251,movie,Come and See,Idi i smotri,False,1985,NULL,142
tt0114709,movie,Toy Story,Toy Story,False,1995,NULL,81
tt0093058,movie,Full Metal Jacket,Full Metal Jacket,False,1987,NULL,116
tt8503618,movie,Hamilton,Hamilton,False,2020,NULL,160
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,False,2000,NULL,102
tt5074352,movie,Dangal,Dangal,False,2016,NULL,161
tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,False,2004,NULL,108
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,False,1992,NULL,99
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,False,2009,NULL,153
tt2106476,movie,The Hunt,Jagten,False,2012,NULL,115
tt0119698,movie,Princess Mononoke,Mononoke-hime,False,1997,NULL,134
tt0435761,movie,Toy Story 3,Toy Story 3,False,2010,NULL,103
tt0119217,movie,Good Will Hunting,Good Will Hunting,False,1997,NULL,126
tt1832382,movie,A Separation,Jodaeiye Nader az Simin,False,2011,NULL,123
tt1745960,movie,Top Gun: Maverick,Top Gun: Maverick,False,2022,NULL,130
tt1255953,movie,Incendies,Incendies,False,2010,NULL,131
tt0169547,movie,American Beauty,American Beauty,False,1999,NULL,122
tt1049413,movie,Up,Up,False,2009,NULL,96
