personId,name,birthYear,deathYear
nm0290358,Richard Francis-Bruce,1948,NULL
nm0000209,Tim Robbins,1958,NULL
nm0000151,Morgan Freeman,1937,NULL
nm0348409,Bob Gunton,1945,NULL
nm0006669,William Sadler,1950,NULL
nm0001104,Frank Darabont,1959,NULL
nm0000175,Stephen King,1947,NULL
nm0555550,Niki Marvin,NULL,NULL
nm0002353,Thomas Newman,1955,NULL
nm0005683,Roger Deakins,1949,NULL
nm0722000,William Reynolds,1910,1997
nm0000008,Marlon Brando,1924,2004
nm0000199,Al Pacino,1940,NULL
nm0001001,James Caan,1940,2022
nm0000473,Diane Keaton,1946,NULL
nm0000338,Francis Ford Coppola,1939,NULL
nm0701374,Mario Puzo,1920,1999
nm0748665,Albert S. Ruddy,1930,NULL
nm0000065,Nino Rota,1911,1979
nm0932336,Gordon Willis,1931,2014
nm0002354,John Williams,1932,NULL
nm0000553,Liam Neeson,1952,NULL
nm0000146,Ralph Fiennes,1962,NULL
nm0001426,Ben Kingsley,1943,NULL
nm0328751,Caroline Goodall,1959,NULL
nm0000229,Steven Spielberg,1946,NULL
nm0447745,Thomas Keneally,1935,NULL
nm0001873,Steven Zaillian,1953,NULL
nm0527322,Branko Lustig,1932,2019
nm0596520,Gerald R. Molen,1935,NULL
nm0548943,Richard Marks,1943,2018
nm0000134,Robert De Niro,1943,NULL
nm0000380,Robert Duvall,1931,NULL
nm0539794,Barry Malkin,1938,2019
nm0000020,Henry Fonda,1905,1982
nm0002011,Lee J. Cobb,1911,1976
nm0000842,Martin Balsam,1919,1996
nm0275835,John Fiedler,1925,2005
nm0001486,Sidney Lumet,1924,2011
nm0741627,Reginald Rose,1920,2002
nm0006132,Kenyon Hopkins,1912,1983
nm0442100,Boris Kaufman,1906,1980
nm0503594,Carl Lerner,1912,1973
nm0746273,Charles Roven,1949,NULL
nm0000288,Christian Bale,1974,NULL
nm0005132,Heath Ledger,1979,2008
nm0001173,Aaron Eckhart,1968,NULL
nm0000323,Michael Caine,1933,NULL
nm0634240,Christopher Nolan,1970,NULL
nm0634300,Jonathan Nolan,1976,NULL
nm0275286,David S. Goyer,1965,NULL
nm0004170,Bob Kane,1915,1998
nm0650038,Lorne Orleans,NULL,NULL
nm0651614,Barrie M. Osborne,1944,NULL
nm0000704,Elijah Wood,1981,NULL
nm0001557,Viggo Mortensen,1958,NULL
nm0005212,Ian McKellen,1939,NULL
nm0089217,Orlando Bloom,1977,NULL
nm0001392,Peter Jackson,1961,NULL
nm0866058,J.R.R. Tolkien,1892,1973
nm0909638,Fran Walsh,1959,NULL
nm0101991,Philippa Boyens,NULL,NULL
nm8662749,Eric Monette,1967,NULL
nm0913300,David Wasco,NULL,NULL
nm0000237,John Travolta,1954,NULL
nm0000235,Uma Thurman,1970,NULL
nm0000168,Samuel L. Jackson,1948,NULL
nm0000246,Bruce Willis,1955,NULL
nm0000233,Quentin Tarantino,1963,NULL
nm0000812,Roger Avary,1965,NULL
nm0004744,Lawrence Bender,1957,NULL
nm0782900,Andrzej Sekula,NULL,NULL
nm0579673,Sally Menke,1953,2010
nm0801728,Stephen Sinclair,NULL,NULL
nm0513165,Art Linson,1942,NULL
nm0000093,Brad Pitt,1963,NULL
nm0001570,Edward Norton,1969,NULL
nm0001533,Meat Loaf,1947,2022
nm0340260,Zach Grenier,NULL,NULL
nm0000399,David Fincher,1962,NULL
nm0657333,Chuck Palahniuk,1962,NULL
nm0880243,Jim Uhls,1957,NULL
nm0068501,Ross Grayson Bell,NULL,NULL
nm0149556,Ceán Chaffin,1957,NULL
nm0001553,Ennio Morricone,1928,2020
nm0000142,Clint Eastwood,1930,NULL
nm0908919,Eli Wallach,1915,2014
nm0001812,Lee Van Cleef,1925,1989
nm0321294,Aldo Giuffrè,1924,2010
nm0001466,Sergio Leone,1929,1989
nm0898812,Luciano Vincenzoni,1926,2013
nm0408488,Agenore Incrocci,1919,2005
nm0769249,Furio Scarpelli,1919,2010
nm0342090,Alberto Grimaldi,1925,2021
nm0761744,Tim Sanders,NULL,NULL
nm0000293,Sean Bean,1959,NULL
nm0245596,Guy Hendrix Dyas,1968,NULL
nm0000138,Leonardo DiCaprio,1974,NULL
nm0330687,Joseph Gordon-Levitt,1981,NULL
nm0680983,Elliot Page,1987,NULL
nm0913822,Ken Watanabe,1959,NULL
nm0858799,Emma Thomas,1971,NULL
nm0001877,Hans Zimmer,1957,NULL
nm0002892,Wally Pfister,1961,NULL
nm0809059,Lee Smith,1960,NULL
nm5701899,Philomin Raj,NULL,NULL
nm1421814,Suriya,1975,NULL
nm7934649,Lijo Mol Jose,1992,NULL
nm8904193,Manikandan K.,NULL,NULL
nm8135195,Rajisha Vijayan,1991,NULL
nm4377096,T.J. Gnanavel,NULL,NULL
nm13222819,Rajendra Sapre,NULL,NULL
nm0433392,Jyotika,1978,NULL
nm6353027,Sean Roldan,NULL,NULL
nm3591972,S.R. Kathir,NULL,NULL
nm0005494,Steve Tisch,1949,NULL
nm0000158,Tom Hanks,1956,NULL
nm0000705,Robin Wright,1966,NULL
nm0000641,Gary Sinise,1955,NULL
nm0000398,Sally Field,1946,NULL
nm0000709,Robert Zemeckis,1952,NULL
nm0343165,Winston Groom,1943,2020
nm0744839,Eric Roth,1945,NULL
nm0277704,Wendy Finerman,1961,NULL
nm0823330,Steve Starkey,NULL,NULL
nm0564768,Rick McCallum,1950,NULL
nm0000434,Mark Hamill,NULL,NULL
nm0000148,Harrison Ford,1942,NULL
nm0000402,Carrie Fisher,1956,2016
nm0001850,Billy Dee Williams,1937,NULL
nm0449984,Irvin Kershner,1923,2010
nm0102824,Leigh Brackett,1915,1978
nm0001410,Lawrence Kasdan,1949,NULL
nm0000184,George Lucas,1944,NULL
nm0476030,Gary Kurtz,1940,2018
nm0821205,Zach Staenberg,1954,NULL
nm0000206,Keanu Reeves,1964,NULL
nm0000401,Laurence Fishburne,1961,NULL
nm0005251,Carrie-Anne Moss,1967,NULL
nm0915989,Hugo Weaving,1960,NULL
nm0905154,Lana Wachowski,1965,NULL
nm0905152,Lilly Wachowski,1967,NULL
nm0005428,Joel Silver,1952,NULL
nm0204485,Don Davis,1957,NULL
nm0691084,Bill Pope,1952,NULL
nm0000140,Michael Douglas,1944,NULL
nm0000197,Jack Nicholson,1937,NULL
nm0001221,Louise Fletcher,1934,2022
nm0077720,Michael Berryman,1948,NULL
nm0110480,Peter Brocco,1903,1992
nm0001232,Milos Forman,1932,2018
nm0369142,Lawrence Hauben,1931,1985
nm0325743,Bo Goldman,1932,NULL
nm0450181,Ken Kesey,1935,2001
nm0913670,Dale Wasserman,1914,2008
nm0774817,Thelma Schoonmaker,1940,NULL
nm0000501,Ray Liotta,1954,2022
nm0000582,Joe Pesci,1943,NULL
nm0000966,Lorraine Bracco,1954,NULL
nm0000217,Martin Scorsese,1942,NULL
nm0683380,Nicholas Pileggi,1933,NULL
nm0005563,Irwin Winkler,1931,NULL
nm0000841,Michael Ballhaus,1935,2017
nm0477158,James Y. Kwei,NULL,NULL
nm0005686,Tonino Delli Colli,1922,2005
nm0000905,Roberto Benigni,1952,NULL
nm0000971,Nicoletta Braschi,1960,NULL
nm0134493,Giorgio Cantarini,1992,NULL
nm0243842,Giustino Durano,1923,2002
nm0148437,Vincenzo Cerami,1940,2013
nm0105346,Gianluigi Braschi,1963,2008
nm0001897,John M. Davis,NULL,NULL
nm0274754,Elda Ferri,NULL,NULL
nm0003607,Nicola Piovani,1946,NULL
nm0708723,Mauricio Andrade Ramos,NULL,NULL
nm1179105,Alexandre Rodrigues,1983,NULL
nm1129884,Leandro Firmino,1978,NULL
nm0618690,Matheus Nachtergaele,1969,NULL
nm1249574,Phellipe Haagensen,1984,NULL
nm0576987,Fernando Meirelles,1955,NULL
nm0526199,Kátia Lund,1966,NULL
nm0513130,Paulo Lins,1958,NULL
nm1130251,Bráulio Mantovani,NULL,NULL
nm0053070,Andrea Barata Ribeiro,NULL,NULL
nm0933858,Michael Wilson,1914,1978
nm0000071,James Stewart,1908,1997
nm0001656,Donna Reed,1921,1986
nm0000859,Lionel Barrymore,1878,1954
nm0593775,Thomas Mitchell,1892,1962
nm0001008,Frank Capra,1897,1991
nm0329304,Frances Goodrich,1890,1984
nm0352443,Albert Hackett,1900,1995
nm0842485,Jo Swerling,1893,1964
nm0827821,Philip Van Doren Stern,1900,1984
nm0882588,Kenneth Utt,1921,1994
nm0000149,Jodie Foster,1962,NULL
nm0000164,Anthony Hopkins,1937,NULL
nm0095029,Lawrence A. Bonney,NULL,NULL
nm0501435,Kasi Lemmons,1961,NULL
nm0001129,Jonathan Demme,1944,2017
nm0365383,Thomas Harris,1940,NULL
nm0848217,Ted Tally,1952,NULL
nm0102508,Ron Bozman,NULL,NULL
nm0768324,Edward Saxon,NULL,NULL
nm0233827,Dody Dorn,1955,NULL
nm0000216,Arnold Schwarzenegger,1947,NULL
nm0000157,Linda Hamilton,1956,NULL
nm0000411,Edward Furlong,1977,NULL
nm0001598,Robert Patrick,1958,NULL
nm0000116,James Cameron,1954,NULL
nm0936537,William Wisher,NULL,NULL
nm0006075,Brad Fiedel,1951,NULL
nm0004229,Adam Greenberg,1937,NULL
nm0119322,Conrad Buff IV,1948,NULL
nm0000354,Matt Damon,1970,NULL
nm0001744,Tom Sizemore,1961,2023
nm0122653,Edward Burns,1968,NULL
nm0734441,Robert Rodat,1953,NULL
nm0117290,Ian Bryce,NULL,NULL
nm0330428,Mark Gordon,1956,NULL
nm0506013,Gary Levinsohn,1959,NULL
nm0590799,Yoshio Miyajima,1910,1998
nm0619938,Tatsuya Nakadai,1932,NULL
nm0410968,Akira Ishihama,1935,2022
nm0412615,Shima Iwashita,1941,NULL
nm0848533,Tetsurô Tanba,1922,2006
nm0462030,Masaki Kobayashi,1916,1996
nm0847668,Yasuhiko Takiguchi,1924,2004
nm0368074,Shinobu Hashimoto,1918,2018
nm0396106,Tatsuo Hosoya,NULL,NULL
nm0006316,Tôru Takemitsu,1930,1996
nm0000228,Kevin Spacey,1959,NULL
nm0001825,Andrew Kevin Walker,1964,NULL
nm0138287,Phyllis Carlyle,1942,2022
