professionId,profession
0,writer
1,cinematographer
2,assistant_director
3,animation_department
4,editorial_department
5,location_management
6,soundtrack
7,art_director
8,transportation_department
9,special_effects
10,casting_department
11,production_designer
12,costume_designer
13,make_up_department
14,costume_department
15,camera_department
16,set_decorator
17,manager
18,stunts
19,art_department
20,editor
21,executive
22,miscellaneous
23,sound_department
24,music_artist
25,actor
26,script_department
27,production_manager
28,producer
29,legal
30,actress
31,director
32,visual_effects
33,composer
34,casting_director
35,music_department
